week_number,n_2020,n_2018,n_2019,Avg1819,def
1,731,1427,1551,1489,758
2,2184,1646,2348,1997,-187
3,2349,1841,2272,2056,-293
4,2522,1995,2438,2216,-306
5,2598,2044,2442,2243,-355
6,2588,2237,2428,2332,-256
7,2510,2038,2330,2184,-326
8,2338,2162,2334,2248,-90
9,2615,1929,2392,2160,-455
10,2475,2094,2612,2353,-122
11,2432,2147,2562,2354,-78
12,1206,2369,2668,2518,1312
13,140,1686,2498,2092,1952
14,21,1766,2525,2146,2125
15,9,2291,2258,2274,2265
16,16,2614,1844,2229,2213
17,13,2531,1921,2226,2213
18,15,2617,2565,2591,2576
19,17,2107,2091,2099,2082
20,29,2560,2643,2602,2573
21,73,2394,2647,2520,2447
22,86,1923,2042,1982,1896
23,142,2464,2515,2490,2348
24,205,2395,2552,2474,2269
25,247,2462,2551,2506,2259
26,262,2485,2454,2470,2208
27,314,2349,2466,2408,2094
28,460,2382,2369,2376,1916
29,617,2260,2257,2258,1641
30,700,2456,2270,2363,1663
31,786,2209,2188,2198,1412
32,961,2356,2271,2314,1353
33,1108,2112,2276,2194,1086
34,1195,2197,2217,2207,1012
35,1261,1880,1769,1824,563
36,1141,2406,2546,2476,1335
37,1514,2437,2020,2228,714
38,1528,2395,2587,2491,963
39,1671,2252,2526,2389,718
40,1894,2574,2631,2602,708
41,1867,2600,2601,2600,733
42,1836,2604,2603,2604,768
43,1881,2496,2495,2496,615
44,1769,2641,2501,2571,802
45,1618,2635,2573,2604,986
46,1767,2641,2630,2636,869
47,1639,2655,2620,2638,999
48,1759,2812,2756,2784,1025
49,1577,2699,2685,2692,1115
50,1689,2677,2632,2654,965
51,1431,1949,2131,2040,609
52,379,508,430,469,90
53,209,NA,NA,NA,NA
